approval_id,application_id,amount_approved,approved_by,approval_date,conditions
APR-2024-000001,APP-2024-000001,3910000.0,OFFICER_24,2024-08-26 03:01:00,Standard Credit Review Met
APR-2024-000002,APP-2024-000002,1230000.0,OFFICER_47,2024-08-27 03:43:00,Standard Credit Review Met
APR-2024-000003,APP-2024-000003,2430000.0,OFFICER_42,2024-08-07 00:05:00,Standard Credit Review Met
APR-2024-000004,APP-2024-000004,4600000.0,OFFICER_36,2024-08-11 17:12:00,Standard Credit Review Met
APR-2024-000005,APP-2024-000006,1370000.0,OFFICER_27,2024-09-01 05:44:00,Standard Credit Review Met
APR-2024-000006,APP-2024-000007,2170000.0,OFFICER_16,2024-08-15 10:06:00,Standard Credit Review Met
APR-2024-000007,APP-2024-000008,820000.0,OFFICER_39,2024-08-30 11:38:00,Standard Credit Review Met
APR-2024-000008,APP-2024-000009,5400000.0,OFFICER_50,2024-08-10 12:05:00,Standard Credit Review Met
APR-2024-000009,APP-2024-000010,2640000.0,OFFICER_12,2024-09-01 11:36:00,Standard Credit Review Met
APR-2024-000010,APP-2024-000013,3010000.0,OFFICER_33,2024-08-19 20:53:00,Standard Credit Review Met
APR-2024-000011,APP-2024-000015,820000.0,OFFICER_44,2024-08-25 02:38:00,Standard Credit Review Met
APR-2024-000012,APP-2024-000017,3160000.0,OFFICER_13,2024-08-28 22:35:00,Standard Credit Review Met
APR-2024-000013,APP-2024-000018,3450000.0,OFFICER_27,2024-09-04 01:51:00,Standard Credit Review Met
APR-2024-000014,APP-2024-000019,2280000.0,OFFICER_41,2024-08-12 18:56:00,Standard Credit Review Met
APR-2024-000015,APP-2024-000020,6110000.0,OFFICER_18,2024-09-04 20:29:00,Standard Credit Review Met
APR-2024-000016,APP-2024-000022,6350000.0,OFFICER_33,2024-09-01 18:27:00,Standard Credit Review Met
APR-2024-000017,APP-2024-000024,1200000.0,OFFICER_50,2024-08-29 01:55:00,Standard Credit Review Met
APR-2024-000018,APP-2024-000025,3030000.0,OFFICER_34,2024-08-29 21:27:00,Standard Credit Review Met
APR-2024-000019,APP-2024-000026,6990000.0,OFFICER_10,2024-08-30 14:33:00,Standard Credit Review Met
APR-2024-000020,APP-2024-000027,2700000.0,OFFICER_17,2024-08-29 17:48:00,Standard Credit Review Met
APR-2024-000021,APP-2024-000028,5610000.0,OFFICER_42,2024-08-20 05:29:00,Standard Credit Review Met
APR-2024-000022,APP-2024-000030,1340000.0,OFFICER_19,2024-08-15 20:32:00,Standard Credit Review Met
APR-2024-000023,APP-2024-000032,980000.0,OFFICER_17,2024-08-03 19:20:00,Standard Credit Review Met
APR-2024-000024,APP-2024-000033,5660000.0,OFFICER_46,2024-09-03 09:15:00,Standard Credit Review Met
APR-2024-000025,APP-2024-000034,4000000.0,OFFICER_18,2024-08-13 23:31:00,Standard Credit Review Met
APR-2024-000026,APP-2024-000035,3620000.0,OFFICER_43,2024-08-28 15:35:00,Standard Credit Review Met
APR-2024-000027,APP-2024-000037,4730000.0,OFFICER_35,2024-08-31 23:44:00,Standard Credit Review Met
APR-2024-000028,APP-2024-000038,1070000.0,OFFICER_24,2024-08-20 16:28:00,Standard Credit Review Met
APR-2024-000029,APP-2024-000039,4590000.0,OFFICER_47,2024-08-16 00:37:00,Standard Credit Review Met
APR-2024-000030,APP-2024-000040,1380000.0,OFFICER_24,2024-08-03 02:45:00,Standard Credit Review Met
APR-2024-000031,APP-2024-000041,1160000.0,OFFICER_42,2024-09-01 01:55:00,Standard Credit Review Met
APR-2024-000032,APP-2024-000042,5110000.0,OFFICER_18,2024-08-19 21:31:00,Standard Credit Review Met
APR-2024-000033,APP-2024-000043,1540000.0,OFFICER_22,2024-08-27 15:15:00,Standard Credit Review Met
APR-2024-000034,APP-2024-000045,2430000.0,OFFICER_13,2024-08-17 13:29:00,Standard Credit Review Met
APR-2024-000035,APP-2024-000046,2510000.0,OFFICER_22,2024-08-29 10:51:00,Standard Credit Review Met
APR-2024-000036,APP-2024-000047,1880000.0,OFFICER_27,2024-08-22 14:08:00,Standard Credit Review Met
APR-2024-000037,APP-2024-000048,4340000.0,OFFICER_13,2024-08-11 02:28:00,Standard Credit Review Met
APR-2024-000038,APP-2024-000049,5170000.0,OFFICER_36,2024-08-31 00:05:00,Standard Credit Review Met
APR-2024-000039,APP-2024-000051,770000.0,OFFICER_34,2024-08-31 01:10:00,Standard Credit Review Met
APR-2024-000040,APP-2024-000052,790000.0,OFFICER_41,2024-09-05 14:18:00,Standard Credit Review Met
APR-2024-000041,APP-2024-000053,7020000.0,OFFICER_13,2024-08-17 09:13:00,Standard Credit Review Met
APR-2024-000042,APP-2024-000054,6960000.0,OFFICER_43,2024-08-12 01:37:00,Standard Credit Review Met
APR-2024-000043,APP-2024-000057,2550000.0,OFFICER_47,2024-09-02 07:25:00,Standard Credit Review Met
APR-2024-000044,APP-2024-000058,1600000.0,OFFICER_30,2024-08-12 19:05:00,Standard Credit Review Met
APR-2024-000045,APP-2024-000059,820000.0,OFFICER_26,2024-08-12 21:45:00,Standard Credit Review Met
APR-2024-000046,APP-2024-000060,3890000.0,OFFICER_30,2024-08-14 21:41:00,Standard Credit Review Met
APR-2024-000047,APP-2024-000061,1260000.0,OFFICER_14,2024-08-04 14:39:00,Standard Credit Review Met
APR-2024-000048,APP-2024-000062,2800000.0,OFFICER_14,2024-08-14 16:16:00,Standard Credit Review Met
APR-2024-000049,APP-2024-000063,4560000.0,OFFICER_29,2024-08-22 09:10:00,Standard Credit Review Met
