beneficiary_id,state,sector,gender,age_band,employment_category
BEN-000001,FCT,Healthcare,Male,36-50,Self-Employed
BEN-000002,FCT,Light Manufacturing,Male,26-35,Self-Employed
BEN-000003,Enugu,Healthcare,Female,36-50,Self-Employed
BEN-000004,Kaduna,Healthcare,Female,26-35,Self-Employed
BEN-000005,Kaduna,Light Manufacturing,Female,18-25,Self-Employed
BEN-000006,FCT,Light Manufacturing,Male,50+,Self-Employed
BEN-000007,Nasarawa,Healthcare,Male,18-25,Formal Sector
BEN-000008,Lagos,Retail Trade,Male,18-25,Micro-Enterprise
BEN-000009,FCT,Tech & Services,Male,18-25,Formal Sector
BEN-000010,Kano,Tech & Services,Male,26-35,Self-Employed
BEN-000011,Kaduna,Retail Trade,Female,50+,Micro-Enterprise
BEN-000012,Lagos,Tech & Services,Male,26-35,Self-Employed
BEN-000013,Kano,Healthcare,Female,50+,Micro-Enterprise
BEN-000014,Kano,Healthcare,Female,18-25,Formal Sector
BEN-000015,Oyo,Tech & Services,Male,18-25,Self-Employed
BEN-000016,Rivers,Light Manufacturing,Female,18-25,Self-Employed
BEN-000017,Kaduna,Agriculture,Female,26-35,Self-Employed
BEN-000018,Kano,Healthcare,Female,26-35,Micro-Enterprise
BEN-000019,FCT,Healthcare,Female,36-50,Micro-Enterprise
BEN-000020,Kano,Light Manufacturing,Female,26-35,Self-Employed
BEN-000021,Kaduna,Agriculture,Male,26-35,Formal Sector
BEN-000022,Kano,Healthcare,Female,26-35,Formal Sector
BEN-000023,Lagos,Light Manufacturing,Male,50+,Micro-Enterprise
BEN-000024,Enugu,Tech & Services,Female,26-35,Micro-Enterprise
BEN-000025,Lagos,Retail Trade,Male,26-35,Formal Sector
BEN-000026,Kano,Light Manufacturing,Male,36-50,Micro-Enterprise
BEN-000027,Kaduna,Light Manufacturing,Male,26-35,Self-Employed
BEN-000028,Kano,Light Manufacturing,Male,26-35,Micro-Enterprise
BEN-000029,FCT,Agriculture,Male,26-35,Micro-Enterprise
BEN-000030,Rivers,Healthcare,Male,18-25,Micro-Enterprise
BEN-000031,Lagos,Healthcare,Male,26-35,Micro-Enterprise
BEN-000032,Lagos,Retail Trade,Female,26-35,Micro-Enterprise
BEN-000033,Oyo,Light Manufacturing,Male,36-50,Self-Employed
BEN-000034,Bauchi,Light Manufacturing,Female,36-50,Self-Employed
BEN-000035,Lagos,Healthcare,Female,26-35,Self-Employed
BEN-000036,Rivers,Light Manufacturing,Male,18-25,Formal Sector
BEN-000037,FCT,Retail Trade,Female,36-50,Micro-Enterprise
BEN-000038,Kano,Retail Trade,Male,36-50,Micro-Enterprise
BEN-000039,Lagos,Tech & Services,Male,50+,Formal Sector
BEN-000040,Lagos,Light Manufacturing,Male,26-35,Micro-Enterprise
BEN-000041,Nasarawa,Tech & Services,Female,36-50,Micro-Enterprise
BEN-000042,Kaduna,Tech & Services,Female,26-35,Self-Employed
BEN-000043,Kaduna,Light Manufacturing,Female,26-35,Self-Employed
BEN-000044,FCT,Light Manufacturing,Female,26-35,Micro-Enterprise
BEN-000045,Kano,Healthcare,Male,26-35,Micro-Enterprise
BEN-000046,Rivers,Agriculture,Female,26-35,Micro-Enterprise
BEN-000047,Kano,Healthcare,Male,50+,Self-Employed
BEN-000048,FCT,Agriculture,Female,26-35,Self-Employed
BEN-000049,Rivers,Light Manufacturing,Female,36-50,Self-Employed
BEN-000050,Bauchi,Healthcare,Male,36-50,Micro-Enterprise
BEN-000051,Bauchi,Healthcare,Male,50+,Formal Sector
BEN-000052,Nasarawa,Healthcare,Male,36-50,Self-Employed
BEN-000053,Kaduna,Agriculture,Male,36-50,Formal Sector
BEN-000054,Kaduna,Retail Trade,Female,50+,Self-Employed
BEN-000055,Lagos,Retail Trade,Male,36-50,Self-Employed
BEN-000056,Rivers,Healthcare,Male,26-35,Self-Employed
BEN-000057,Enugu,Tech & Services,Male,26-35,Micro-Enterprise
BEN-000058,Enugu,Tech & Services,Female,18-25,Self-Employed
BEN-000059,FCT,Light Manufacturing,Male,26-35,Self-Employed
BEN-000060,Lagos,Agriculture,Male,36-50,Self-Employed
BEN-000061,Kaduna,Agriculture,Female,26-35,Formal Sector
BEN-000062,FCT,Healthcare,Male,26-35,Micro-Enterprise
BEN-000063,Kaduna,Healthcare,Female,36-50,Self-Employed
BEN-000064,FCT,Light Manufacturing,Male,18-25,Self-Employed
BEN-000065,Bauchi,Agriculture,Female,18-25,Formal Sector
BEN-000066,FCT,Agriculture,Female,26-35,Formal Sector
BEN-000067,Rivers,Healthcare,Female,26-35,Self-Employed
BEN-000068,FCT,Healthcare,Male,26-35,Self-Employed
BEN-000069,Kaduna,Tech & Services,Male,18-25,Micro-Enterprise
BEN-000070,Oyo,Tech & Services,Male,26-35,Self-Employed
BEN-000071,Enugu,Healthcare,Female,26-35,Self-Employed
BEN-000072,Katsina,Agriculture,Female,36-50,Micro-Enterprise
BEN-000073,Bauchi,Retail Trade,Male,26-35,Formal Sector
BEN-000074,Lagos,Retail Trade,Female,18-25,Micro-Enterprise
BEN-000075,Nasarawa,Tech & Services,Male,50+,Formal Sector
BEN-000076,Kaduna,Healthcare,Male,26-35,Self-Employed
BEN-000077,Enugu,Agriculture,Female,26-35,Micro-Enterprise
BEN-000078,Kano,Light Manufacturing,Male,18-25,Micro-Enterprise
BEN-000079,Enugu,Healthcare,Male,26-35,Formal Sector
BEN-000080,Lagos,Healthcare,Female,36-50,Formal Sector
BEN-000081,FCT,Retail Trade,Male,26-35,Micro-Enterprise
BEN-000082,Lagos,Tech & Services,Male,36-50,Micro-Enterprise
