payment_id,voucher_number,payee,amount,payment_date,reference,status
PAY-2024-000001,PV-2024-1000,PFI Partner Escrow Account,3910000.0,2024-08-29 05:01:00,ZDF-DISB-2024-00001,Posted
PAY-2024-000002,PV-2024-1001,PFI Partner Escrow Account,1230000.0,2024-09-01 22:43:00,ZDF-DISB-2024-00002,Posted
PAY-2024-000003,PV-2024-1002,PFI Partner Escrow Account,2430000.0,2024-08-13 08:05:00,ZDF-DISB-2024-00003,Posted
PAY-2024-000004,PV-2024-1003,PFI Partner Escrow Account,4600000.0,2024-08-14 21:12:00,ZDF-DISB-2024-00004,Posted
PAY-2024-000005,PV-2024-1004,PFI Partner Escrow Account,1370000.0,2024-09-03 19:44:00,ZDF-DISB-2024-00005,Posted
PAY-2024-000006,PV-2024-1005,PFI Partner Escrow Account,2170000.0,2024-08-19 00:06:00,ZDF-DISB-2024-00006,Posted
PAY-2024-000007,PV-2024-1006,PFI Partner Escrow Account,820000.0,2024-09-06 08:38:00,ZDF-DISB-2024-00007,Posted
PAY-2024-000008,PV-2024-1007,PFI Partner Escrow Account,5400000.0,2024-08-16 15:05:00,ZDF-DISB-2024-00008,Posted
PAY-2024-000009,PV-2024-1008,PFI Partner Escrow Account,2640000.0,2024-09-03 16:36:00,ZDF-DISB-2024-00009,Posted
PAY-2024-000010,PV-2024-1009,PFI Partner Escrow Account,3010000.0,2024-08-24 01:53:00,ZDF-DISB-2024-00010,Posted
PAY-2024-000011,PV-2024-1010,PFI Partner Escrow Account,820000.0,2024-08-28 08:38:00,ZDF-DISB-2024-00011,Posted
PAY-2024-000012,PV-2024-1011,PFI Partner Escrow Account,3160000.0,2024-09-01 04:35:00,ZDF-DISB-2024-00012,Posted
PAY-2024-000013,PV-2024-1012,PFI Partner Escrow Account,3450000.0,2024-09-05 05:51:00,ZDF-DISB-2024-00013,Posted
PAY-2024-000014,PV-2024-1013,PFI Partner Escrow Account,2280000.0,2024-08-18 05:56:00,ZDF-DISB-2024-00014,Posted
PAY-2024-000015,PV-2024-1014,PFI Partner Escrow Account,6110000.0,2024-09-07 18:29:00,ZDF-DISB-2024-00015,Posted
PAY-2024-000016,PV-2024-1015,PFI Partner Escrow Account,6350000.0,2024-09-04 08:27:00,ZDF-DISB-2024-00016,Posted
PAY-2024-000017,PV-2024-1016,PFI Partner Escrow Account,1200000.0,2024-08-31 18:55:00,ZDF-DISB-2024-00017,Posted
PAY-2024-000018,PV-2024-1017,PFI Partner Escrow Account,3030000.0,2024-09-04 06:27:00,ZDF-DISB-2024-00018,Posted
PAY-2024-000019,PV-2024-1018,PFI Partner Escrow Account,6990000.0,2024-09-02 08:33:00,ZDF-DISB-2024-00019,Posted
