award_id,requisition_id,bid_id,vendor_id,awarded_value,award_date,award_justification
AWD-2024-00001,PR-2024-00767,BID-2024-000002,PRC-VND-0028,33949000.0,2024-09-02,Lowest Responsive Bid
AWD-2024-00002,PR-2024-00670,BID-2024-000005,PRC-VND-0108,21046000.0,2024-08-25,Lowest Responsive Bid
AWD-2024-00003,PR-2024-00796,BID-2024-000011,PRC-VND-0047,16929000.0,2024-08-30,Lowest Responsive Bid
AWD-2024-00004,PR-2024-00574,BID-2024-000013,PRC-VND-0081,23450000.0,2024-09-13,Lowest Responsive Bid
AWD-2024-00005,PR-2024-00148,BID-2024-000020,PRC-VND-0050,1844000.0,2024-09-01,Lowest Responsive Bid
AWD-2024-00006,PR-2024-00784,BID-2024-000024,PRC-VND-0051,4052000.0,2024-09-03,Lowest Responsive Bid
AWD-2024-00007,PR-2024-00307,BID-2024-000031,PRC-VND-0061,21202000.0,2024-09-13,Lowest Responsive Bid
AWD-2024-00008,PR-2024-00133,BID-2024-000038,PRC-VND-0106,33309000.0,2024-09-14,Lowest Responsive Bid
AWD-2024-00009,PR-2024-00634,BID-2024-000045,PRC-VND-0062,27794000.0,2024-09-06,Lowest Responsive Bid
AWD-2024-00010,PR-2024-00029,BID-2024-000047,PRC-VND-0024,25293000.0,2024-09-16,Best Evaluated Bid - Technical Score
AWD-2024-00011,PR-2024-00387,BID-2024-000049,PRC-VND-0062,37232000.0,2024-09-11,Lowest Responsive Bid
AWD-2024-00012,PR-2024-00378,BID-2024-000055,PRC-VND-0051,15326000.0,2024-09-12,Lowest Responsive Bid
AWD-2024-00013,PR-2024-00507,BID-2024-000058,PRC-VND-0021,33870000.0,2024-09-24,Lowest Responsive Bid
AWD-2024-00014,PR-2024-00684,BID-2024-000067,PRC-VND-0066,13090000.0,2024-09-13,Lowest Responsive Bid
AWD-2024-00015,PR-2024-00747,BID-2024-000071,PRC-VND-0066,23376000.0,2024-09-14,Delivery Timeline Advantage
AWD-2024-00016,PR-2024-00185,BID-2024-000073,PRC-VND-0034,24487000.0,2024-09-11,Lowest Responsive Bid
AWD-2024-00017,PR-2024-00183,BID-2024-000081,PRC-VND-0058,13419000.0,2024-09-18,Lowest Responsive Bid
AWD-2024-00018,PR-2024-00313,BID-2024-000087,PRC-VND-0061,33249000.0,2024-09-21,Lowest Responsive Bid
AWD-2024-00019,PR-2024-00527,BID-2024-000089,PRC-VND-0065,15400000.0,2024-09-17,Lowest Responsive Bid
AWD-2024-00020,PR-2024-00764,BID-2024-000095,PRC-VND-0013,10256000.0,2024-09-27,Lowest Responsive Bid
AWD-2024-00021,PR-2024-00139,BID-2024-000102,PRC-VND-0101,32499000.0,2024-09-16,Lowest Responsive Bid
AWD-2024-00022,PR-2024-00503,BID-2024-000113,PRC-VND-0093,36781000.0,2024-09-28,Delivery Timeline Advantage
AWD-2024-00023,PR-2024-00676,BID-2024-000117,PRC-VND-0106,23322000.0,2024-10-01,Best Evaluated Bid - Technical Score
AWD-2024-00024,PR-2024-00491,BID-2024-000126,PRC-VND-0060,15939000.0,2024-10-07,Lowest Responsive Bid
AWD-2024-00025,PR-2024-00077,BID-2024-000133,PRC-VND-0027,37667000.0,2024-09-21,Lowest Responsive Bid
AWD-2024-00026,PR-2024-00727,BID-2024-000140,PRC-VND-0005,34826000.0,2024-09-20,Lowest Responsive Bid
AWD-2024-00027,PR-2024-00070,BID-2024-000144,PRC-VND-0106,24174000.0,2024-10-14,Lowest Responsive Bid
AWD-2024-00028,PR-2024-00411,BID-2024-000149,PRC-VND-0057,28967000.0,2024-09-30,Lowest Responsive Bid
AWD-2024-00029,PR-2024-00309,BID-2024-000154,PRC-VND-0067,7998000.0,2024-10-10,Lowest Responsive Bid
AWD-2024-00030,PR-2024-00339,BID-2024-000156,PRC-VND-0079,1080000.0,2024-09-23,Lowest Responsive Bid
AWD-2024-00031,PR-2024-00432,BID-2024-000161,PRC-VND-0078,30706000.0,2024-10-12,Lowest Responsive Bid
AWD-2024-00032,PR-2024-00632,BID-2024-000169,PRC-VND-0113,5923000.0,2024-09-21,Prior Satisfactory Performance
AWD-2024-00033,PR-2024-00357,BID-2024-000171,PRC-VND-0110,21094000.0,2024-09-22,Lowest Responsive Bid
AWD-2024-00034,PR-2024-00729,BID-2024-000173,PRC-VND-0103,34953000.0,2024-10-16,Lowest Responsive Bid
AWD-2024-00035,PR-2024-00362,BID-2024-000180,PRC-VND-0062,25031000.0,2024-10-01,Lowest Responsive Bid
AWD-2024-00036,PR-2024-00087,BID-2024-000187,PRC-VND-0114,21489000.0,2024-10-05,Lowest Responsive Bid
AWD-2024-00037,PR-2024-00321,BID-2024-000189,PRC-VND-0104,2186000.0,2024-10-15,Lowest Responsive Bid
AWD-2024-00038,PR-2024-00287,BID-2024-000193,PRC-VND-0098,12039000.0,2024-10-03,Best Evaluated Bid - Technical Score
AWD-2024-00039,PR-2024-00343,BID-2024-000201,PRC-VND-0050,26693000.0,2024-10-19,Lowest Responsive Bid
AWD-2024-00040,PR-2024-00407,BID-2024-000202,PRC-VND-0106,37181000.0,2024-09-27,Lowest Responsive Bid
AWD-2024-00041,PR-2024-00553,BID-2024-000208,PRC-VND-0012,30092000.0,2024-10-02,Lowest Responsive Bid
AWD-2024-00042,PR-2024-00231,BID-2024-000212,PRC-VND-0030,10213000.0,2024-10-07,Lowest Responsive Bid
AWD-2024-00043,PR-2024-00470,BID-2024-000217,PRC-VND-0022,5415000.0,2024-10-15,Lowest Responsive Bid
AWD-2024-00044,PR-2024-00100,BID-2024-000222,PRC-VND-0019,38556000.0,2024-10-13,Lowest Responsive Bid
AWD-2024-00045,PR-2024-00142,BID-2024-000229,PRC-VND-0008,33507000.0,2024-10-11,Lowest Responsive Bid
AWD-2024-00046,PR-2024-00247,BID-2024-000233,PRC-VND-0047,21783000.0,2024-10-09,Lowest Responsive Bid
AWD-2024-00047,PR-2024-00414,BID-2024-000240,PRC-VND-0046,1547000.0,2024-10-14,Prior Satisfactory Performance
AWD-2024-00048,PR-2024-00015,BID-2024-000242,PRC-VND-0038,37576000.0,2024-10-15,Lowest Responsive Bid
AWD-2024-00049,PR-2024-00512,BID-2024-000248,PRC-VND-0012,18895000.0,2024-10-16,Lowest Responsive Bid
AWD-2024-00050,PR-2024-00539,BID-2024-000253,PRC-VND-0085,8509000.0,2024-10-18,Lowest Responsive Bid
AWD-2024-00051,PR-2024-00570,BID-2024-000256,PRC-VND-0049,5153000.0,2024-10-04,Lowest Responsive Bid
AWD-2024-00052,PR-2024-00552,BID-2024-000258,PRC-VND-0036,33655000.0,2024-10-08,Lowest Responsive Bid
AWD-2024-00053,PR-2024-00673,BID-2024-000268,PRC-VND-0082,3001000.0,2024-10-17,Lowest Responsive Bid
AWD-2024-00054,PR-2024-00667,BID-2024-000285,PRC-VND-0105,38703000.0,2024-10-12,Lowest Responsive Bid
AWD-2024-00055,PR-2024-00233,BID-2024-000290,PRC-VND-0022,23064000.0,2024-11-01,Lowest Responsive Bid
AWD-2024-00056,PR-2024-00124,BID-2024-000294,PRC-VND-0022,39632000.0,2024-10-15,Lowest Responsive Bid
AWD-2024-00057,PR-2024-00757,BID-2024-000301,PRC-VND-0090,7583000.0,2024-10-17,Lowest Responsive Bid
AWD-2024-00058,PR-2024-00096,BID-2024-000311,PRC-VND-0008,33895000.0,2024-10-24,Best Evaluated Bid - Technical Score
AWD-2024-00059,PR-2024-00341,BID-2024-000316,PRC-VND-0119,35430000.0,2024-10-19,Lowest Responsive Bid
AWD-2024-00060,PR-2024-00027,BID-2024-000327,PRC-VND-0118,3765000.0,2024-10-30,Lowest Responsive Bid
AWD-2024-00061,PR-2024-00302,BID-2024-000332,PRC-VND-0019,22063000.0,2024-10-24,Prior Satisfactory Performance
AWD-2024-00062,PR-2024-00390,BID-2024-000333,PRC-VND-0065,19774000.0,2024-10-20,Prior Satisfactory Performance
AWD-2024-00063,PR-2024-00547,BID-2024-000340,PRC-VND-0041,12670000.0,2024-10-31,Lowest Responsive Bid
AWD-2024-00064,PR-2024-00086,BID-2024-000347,PRC-VND-0106,26671000.0,2024-11-03,Delivery Timeline Advantage
AWD-2024-00065,PR-2024-00288,BID-2024-000349,PRC-VND-0067,15982000.0,2024-11-05,Lowest Responsive Bid
AWD-2024-00066,PR-2024-00409,BID-2024-000356,PRC-VND-0026,22012000.0,2024-10-23,Lowest Responsive Bid
AWD-2024-00067,PR-2024-00489,BID-2024-000367,PRC-VND-0038,2643000.0,2024-10-18,Lowest Responsive Bid
AWD-2024-00068,PR-2024-00647,BID-2024-000372,PRC-VND-0063,31050000.0,2024-11-10,Lowest Responsive Bid
AWD-2024-00069,PR-2024-00627,BID-2024-000384,PRC-VND-0087,3879000.0,2024-10-31,Lowest Responsive Bid
AWD-2024-00070,PR-2024-00069,BID-2024-000389,PRC-VND-0019,22765000.0,2024-11-13,Lowest Responsive Bid
AWD-2024-00071,PR-2024-00637,BID-2024-000392,PRC-VND-0018,25606000.0,2024-11-09,Lowest Responsive Bid
AWD-2024-00072,PR-2024-00190,BID-2024-000400,PRC-VND-0081,14397000.0,2024-11-12,Delivery Timeline Advantage
