bid_id,requisition_id,vendor_id,bid_amount,submitted_date,responsive_flag
BID-2024-000001,PR-2024-00767,PRC-VND-0058,36611000.0,2024-08-16,True
BID-2024-000002,PR-2024-00767,PRC-VND-0028,33949000.0,2024-08-21,True
BID-2024-000003,PR-2024-00767,PRC-VND-0013,35904000.0,2024-08-16,False
BID-2024-000004,PR-2024-00670,PRC-VND-0043,26620000.0,2024-08-21,True
BID-2024-000005,PR-2024-00670,PRC-VND-0108,21046000.0,2024-08-14,True
BID-2024-000006,PR-2024-00670,PRC-VND-0073,26196000.0,2024-08-21,False
BID-2024-000007,PR-2024-00670,PRC-VND-0008,26356000.0,2024-08-20,True
BID-2024-000008,PR-2024-00670,PRC-VND-0013,26822000.0,2024-08-15,True
BID-2024-000009,PR-2024-00670,PRC-VND-0118,23902000.0,2024-08-14,True
BID-2024-000010,PR-2024-00796,PRC-VND-0067,17551000.0,2024-08-23,True
BID-2024-000011,PR-2024-00796,PRC-VND-0047,16929000.0,2024-08-19,True
BID-2024-000012,PR-2024-00796,PRC-VND-0097,17962000.0,2024-08-23,False
BID-2024-000013,PR-2024-00574,PRC-VND-0081,23450000.0,2024-08-24,True
BID-2024-000014,PR-2024-00574,PRC-VND-0051,24584000.0,2024-08-24,False
BID-2024-000015,PR-2024-00574,PRC-VND-0046,28694000.0,2024-09-01,True
BID-2024-000016,PR-2024-00574,PRC-VND-0071,29128000.0,2024-08-25,True
BID-2024-000017,PR-2024-00574,PRC-VND-0061,28347000.0,2024-08-28,True
BID-2024-000018,PR-2024-00148,PRC-VND-0060,1798000.0,2024-08-24,False
BID-2024-000019,PR-2024-00148,PRC-VND-0115,2063000.0,2024-08-26,False
BID-2024-000020,PR-2024-00148,PRC-VND-0050,1844000.0,2024-08-24,True
BID-2024-000021,PR-2024-00148,PRC-VND-0085,2369000.0,2024-08-30,True
BID-2024-000022,PR-2024-00784,PRC-VND-0011,4555000.0,2024-08-29,True
BID-2024-000023,PR-2024-00784,PRC-VND-0101,4970000.0,2024-08-22,True
BID-2024-000024,PR-2024-00784,PRC-VND-0051,4052000.0,2024-08-24,True
BID-2024-000025,PR-2024-00784,PRC-VND-0081,4070000.0,2024-08-25,True
BID-2024-000026,PR-2024-00784,PRC-VND-0111,4467000.0,2024-08-23,True
BID-2024-000027,PR-2024-00784,PRC-VND-0066,4705000.0,2024-08-26,True
BID-2024-000028,PR-2024-00307,PRC-VND-0116,22239000.0,2024-09-03,True
BID-2024-000029,PR-2024-00307,PRC-VND-0071,25477000.0,2024-08-30,True
BID-2024-000030,PR-2024-00307,PRC-VND-0006,25269000.0,2024-08-31,True
BID-2024-000031,PR-2024-00307,PRC-VND-0061,21202000.0,2024-09-05,True
BID-2024-000032,PR-2024-00675,PRC-VND-0111,2281000.0,2024-09-04,True
BID-2024-000033,PR-2024-00675,PRC-VND-0011,2683000.0,2024-08-31,True
BID-2024-000034,PR-2024-00675,PRC-VND-0031,2716000.0,2024-08-30,True
BID-2024-000035,PR-2024-00675,PRC-VND-0006,2696000.0,2024-09-02,True
BID-2024-000036,PR-2024-00133,PRC-VND-0111,35949000.0,2024-08-30,True
BID-2024-000037,PR-2024-00133,PRC-VND-0081,38568000.0,2024-08-31,True
BID-2024-000038,PR-2024-00133,PRC-VND-0106,33309000.0,2024-09-02,True
BID-2024-000039,PR-2024-00347,PRC-VND-0032,24332000.0,2024-08-25,False
BID-2024-000040,PR-2024-00347,PRC-VND-0012,20079000.0,2024-08-25,False
BID-2024-000041,PR-2024-00347,PRC-VND-0102,24745000.0,2024-08-26,False
BID-2024-000042,PR-2024-00347,PRC-VND-0057,23554000.0,2024-08-29,False
BID-2024-000043,PR-2024-00634,PRC-VND-0052,30600000.0,2024-08-30,True
BID-2024-000044,PR-2024-00634,PRC-VND-0007,33162000.0,2024-09-04,False
BID-2024-000045,PR-2024-00634,PRC-VND-0062,27794000.0,2024-09-04,True
BID-2024-000046,PR-2024-00029,PRC-VND-0049,21007000.0,2024-08-27,True
BID-2024-000047,PR-2024-00029,PRC-VND-0024,25293000.0,2024-08-26,True
BID-2024-000048,PR-2024-00029,PRC-VND-0059,24531000.0,2024-08-27,False
BID-2024-000049,PR-2024-00387,PRC-VND-0062,37232000.0,2024-09-03,True
BID-2024-000050,PR-2024-00387,PRC-VND-0077,39736000.0,2024-08-28,True
BID-2024-000051,PR-2024-00387,PRC-VND-0087,37922000.0,2024-09-01,False
BID-2024-000052,PR-2024-00387,PRC-VND-0012,40520000.0,2024-08-31,False
BID-2024-000053,PR-2024-00378,PRC-VND-0026,16088000.0,2024-08-30,True
BID-2024-000054,PR-2024-00378,PRC-VND-0041,17522000.0,2024-08-23,True
BID-2024-000055,PR-2024-00378,PRC-VND-0051,15326000.0,2024-08-25,True
BID-2024-000056,PR-2024-00507,PRC-VND-0101,35035000.0,2024-09-12,True
BID-2024-000057,PR-2024-00507,PRC-VND-0061,36026000.0,2024-09-11,True
BID-2024-000058,PR-2024-00507,PRC-VND-0021,33870000.0,2024-09-11,True
BID-2024-000059,PR-2024-00507,PRC-VND-0056,30035000.0,2024-09-13,False
BID-2024-000060,PR-2024-00507,PRC-VND-0086,38511000.0,2024-09-14,True
BID-2024-000061,PR-2024-00507,PRC-VND-0046,35737000.0,2024-09-14,True
BID-2024-000062,PR-2024-00684,PRC-VND-0016,13105000.0,2024-09-06,False
BID-2024-000063,PR-2024-00684,PRC-VND-0091,15272000.0,2024-09-02,True
BID-2024-000064,PR-2024-00684,PRC-VND-0076,14312000.0,2024-09-02,True
BID-2024-000065,PR-2024-00684,PRC-VND-0106,12740000.0,2024-09-04,False
BID-2024-000066,PR-2024-00684,PRC-VND-0086,13671000.0,2024-08-30,True
BID-2024-000067,PR-2024-00684,PRC-VND-0066,13090000.0,2024-09-03,True
BID-2024-000068,PR-2024-00747,PRC-VND-0071,26774000.0,2024-09-08,True
BID-2024-000069,PR-2024-00747,PRC-VND-0056,22815000.0,2024-08-31,True
BID-2024-000070,PR-2024-00747,PRC-VND-0091,23187000.0,2024-09-05,True
BID-2024-000071,PR-2024-00747,PRC-VND-0066,23376000.0,2024-09-04,True
BID-2024-000072,PR-2024-00185,PRC-VND-0069,27409000.0,2024-09-02,True
BID-2024-000073,PR-2024-00185,PRC-VND-0034,24487000.0,2024-08-30,True
BID-2024-000074,PR-2024-00185,PRC-VND-0004,24889000.0,2024-09-02,True
BID-2024-000075,PR-2024-00185,PRC-VND-0054,28762000.0,2024-09-03,False
