variation_id,contract_id,variation_date,variation_amount,reason
VAR-CTR-2024-00005-1,CTR-2024-00005,2024-11-05,276000.0,Price Escalation
VAR-CTR-2024-00005-2,CTR-2024-00005,2024-11-05,272000.0,Price Escalation
VAR-CTR-2024-00007-1,CTR-2024-00007,2024-11-27,1929000.0,Price Escalation
VAR-CTR-2024-00008-1,CTR-2024-00008,2024-12-01,1700000.0,Scope Increase
VAR-CTR-2024-00009-1,CTR-2024-00009,2024-11-29,1380000.0,Timeline Extension
VAR-CTR-2024-00009-2,CTR-2024-00009,2024-10-31,3145000.0,Additional Sites
VAR-CTR-2024-00010-1,CTR-2024-00010,2024-11-09,3545000.0,Additional Sites
VAR-CTR-2024-00010-2,CTR-2024-00010,2024-12-31,1007000.0,Price Escalation
VAR-CTR-2024-00014-1,CTR-2024-00014,2024-10-18,440000.0,Scope Increase
VAR-CTR-2024-00031-1,CTR-2024-00031,2025-01-06,2482000.0,Scope Increase
VAR-CTR-2024-00031-2,CTR-2024-00031,2024-11-17,4284000.0,Scope Increase
VAR-CTR-2024-00032-1,CTR-2024-00032,2024-12-02,616000.0,Timeline Extension
VAR-CTR-2024-00032-2,CTR-2024-00032,2024-11-06,291000.0,Scope Increase
VAR-CTR-2024-00041-1,CTR-2024-00041,2024-10-31,1698000.0,Scope Increase
VAR-CTR-2024-00041-2,CTR-2024-00041,2024-12-29,2722000.0,Additional Sites
VAR-CTR-2024-00045-1,CTR-2024-00045,2024-12-17,2420000.0,Additional Sites
VAR-CTR-2024-00051-1,CTR-2024-00051,2025-01-06,656000.0,Scope Increase
VAR-CTR-2024-00055-1,CTR-2024-00055,2025-03-05,2919000.0,Timeline Extension
VAR-CTR-2024-00055-2,CTR-2024-00055,2024-12-20,2234000.0,Scope Increase
VAR-CTR-2024-00058-1,CTR-2024-00058,2025-01-18,1060000.0,Scope Increase
VAR-CTR-2024-00059-1,CTR-2024-00059,2025-01-23,2630000.0,Additional Sites
VAR-CTR-2024-00071-1,CTR-2024-00071,2025-03-18,2887000.0,Price Escalation
VAR-CTR-2024-00071-2,CTR-2024-00071,2024-12-28,3583000.0,Timeline Extension
VAR-CTR-2024-00076-1,CTR-2024-00076,2025-03-27,3880000.0,Timeline Extension
VAR-CTR-2024-00080-1,CTR-2024-00080,2025-01-27,3126000.0,Timeline Extension
VAR-CTR-2024-00090-1,CTR-2024-00090,2025-02-27,1084000.0,Additional Sites
VAR-CTR-2024-00090-2,CTR-2024-00090,2025-01-29,557000.0,Scope Increase
VAR-CTR-2024-00107-1,CTR-2024-00107,2025-01-23,2061000.0,Price Escalation
VAR-CTR-2024-00109-1,CTR-2024-00109,2025-02-24,663000.0,Timeline Extension
VAR-CTR-2024-00109-2,CTR-2024-00109,2025-04-27,515000.0,Additional Sites
VAR-CTR-2025-00007-1,CTR-2025-00007,2025-04-05,709000.0,Scope Increase
VAR-CTR-2025-00007-2,CTR-2025-00007,2025-02-21,1756000.0,Price Escalation
VAR-CTR-2025-00015-1,CTR-2025-00015,2025-02-21,1725000.0,Timeline Extension
VAR-CTR-2025-00015-2,CTR-2025-00015,2025-05-06,4302000.0,Additional Sites
VAR-CTR-2025-00019-1,CTR-2025-00019,2025-05-13,3899000.0,Scope Increase
VAR-CTR-2025-00019-2,CTR-2025-00019,2025-05-23,4140000.0,Scope Increase
VAR-CTR-2025-00022-1,CTR-2025-00022,2025-05-19,296000.0,Additional Sites
VAR-CTR-2025-00024-1,CTR-2025-00024,2025-05-22,1440000.0,Scope Increase
VAR-CTR-2025-00024-2,CTR-2025-00024,2025-05-20,2153000.0,Timeline Extension
VAR-CTR-2025-00026-1,CTR-2025-00026,2025-05-25,1904000.0,Scope Increase
VAR-CTR-2025-00028-1,CTR-2025-00028,2025-05-09,1950000.0,Price Escalation
VAR-CTR-2025-00028-2,CTR-2025-00028,2025-05-03,5785000.0,Additional Sites
VAR-CTR-2025-00031-1,CTR-2025-00031,2025-06-06,1221000.0,Price Escalation
VAR-CTR-2025-00031-2,CTR-2025-00031,2025-05-06,3719000.0,Price Escalation
VAR-CTR-2025-00034-1,CTR-2025-00034,2025-05-28,2087000.0,Additional Sites
VAR-CTR-2025-00056-1,CTR-2025-00056,2025-07-02,1321000.0,Scope Increase
VAR-CTR-2025-00056-2,CTR-2025-00056,2025-06-02,1239000.0,Timeline Extension
VAR-CTR-2025-00072-1,CTR-2025-00072,2025-06-22,4575000.0,Price Escalation
VAR-CTR-2025-00072-2,CTR-2025-00072,2025-06-11,5121000.0,Additional Sites
VAR-CTR-2025-00085-1,CTR-2025-00085,2025-07-26,5581000.0,Price Escalation
VAR-CTR-2025-00085-2,CTR-2025-00085,2025-07-30,5312000.0,Price Escalation
VAR-CTR-2025-00088-1,CTR-2025-00088,2025-06-24,146000.0,Scope Increase
VAR-CTR-2025-00091-1,CTR-2025-00091,2025-07-03,2361000.0,Timeline Extension
VAR-CTR-2025-00091-2,CTR-2025-00091,2025-07-01,2329000.0,Timeline Extension
VAR-CTR-2025-00092-1,CTR-2025-00092,2025-06-12,1871000.0,Timeline Extension
VAR-CTR-2025-00092-2,CTR-2025-00092,2025-05-17,3502000.0,Timeline Extension
VAR-CTR-2025-00100-1,CTR-2025-00100,2025-07-09,1285000.0,Price Escalation
VAR-CTR-2025-00100-2,CTR-2025-00100,2025-07-16,2082000.0,Price Escalation
VAR-CTR-2025-00106-1,CTR-2025-00106,2025-07-05,3836000.0,Scope Increase
VAR-CTR-2025-00110-1,CTR-2025-00110,2025-07-13,1362000.0,Scope Increase
VAR-CTR-2025-00112-1,CTR-2025-00112,2025-07-22,645000.0,Scope Increase
VAR-CTR-2025-00114-1,CTR-2025-00114,2025-08-14,90000.0,Scope Increase
VAR-CTR-2025-00114-2,CTR-2025-00114,2025-08-09,87000.0,Additional Sites
VAR-CTR-2025-00121-1,CTR-2025-00121,2025-10-03,2838000.0,Scope Increase
VAR-CTR-2025-00121-2,CTR-2025-00121,2025-07-20,1018000.0,Additional Sites
VAR-CTR-2025-00136-1,CTR-2025-00136,2025-10-27,1476000.0,Price Escalation
VAR-CTR-2025-00145-1,CTR-2025-00145,2025-08-31,422000.0,Scope Increase
VAR-CTR-2025-00148-1,CTR-2025-00148,2025-08-28,1530000.0,Additional Sites
VAR-CTR-2025-00156-1,CTR-2025-00156,2025-09-12,1527000.0,Additional Sites
VAR-CTR-2025-00160-1,CTR-2025-00160,2025-10-22,6220000.0,Additional Sites
VAR-CTR-2025-00160-2,CTR-2025-00160,2025-11-16,5261000.0,Additional Sites
VAR-CTR-2025-00170-1,CTR-2025-00170,2025-10-14,1863000.0,Timeline Extension
VAR-CTR-2025-00171-1,CTR-2025-00171,2025-10-15,1671000.0,Scope Increase
VAR-CTR-2025-00171-2,CTR-2025-00171,2025-10-28,2327000.0,Price Escalation
VAR-CTR-2025-00174-1,CTR-2025-00174,2025-10-22,1446000.0,Additional Sites
VAR-CTR-2025-00174-2,CTR-2025-00174,2025-11-12,447000.0,Timeline Extension
