contract_id,award_id,start_date,end_date,delivery_status,variations
CTR-2026-00001,AWD-2026-00001,2026-07-16,2026-12-20,Completed,0.0
CTR-2025-00002,AWD-2025-00002,2025-08-23,2026-01-13,Completed,0.0
CTR-2026-00003,AWD-2026-00003,2026-01-06,2026-02-28,Completed,0.0
CTR-2025-00004,AWD-2025-00004,2025-03-03,2025-07-12,In Progress,0.0
CTR-2025-00005,AWD-2025-00005,2025-08-06,2025-09-05,Completed,0.0
CTR-2025-00006,AWD-2025-00006,2025-11-11,2026-04-28,Completed,0.0
CTR-2025-00007,AWD-2025-00007,2025-12-12,2026-03-19,Completed,0.0
CTR-2025-00008,AWD-2025-00008,2025-09-21,2025-11-20,Completed,0.0
CTR-2025-00009,AWD-2025-00009,2025-10-02,2026-01-21,Completed,0.0
CTR-2026-00010,AWD-2026-00010,2026-05-21,2026-07-29,Completed,0.0
CTR-2025-00011,AWD-2025-00011,2025-09-24,2026-02-02,Completed,0.0
CTR-2025-00012,AWD-2025-00012,2025-12-19,2026-02-14,Completed,0.0
CTR-2025-00013,AWD-2025-00013,2025-06-24,2025-11-03,Completed,0.0
CTR-2024-00014,AWD-2024-00014,2024-10-01,2025-02-17,Delayed,0.0
CTR-2025-00015,AWD-2025-00015,2025-10-27,2026-01-28,Completed,0.0
CTR-2025-00016,AWD-2025-00016,2025-11-20,2025-12-25,Completed,0.0
CTR-2025-00017,AWD-2025-00017,2025-12-30,2026-06-23,Completed,0.0
CTR-2026-00018,AWD-2026-00018,2026-03-20,2026-05-09,Delayed,0.0
CTR-2025-00019,AWD-2025-00019,2025-02-09,2025-03-29,Completed,0.0
CTR-2025-00020,AWD-2025-00020,2025-10-10,2026-01-01,Completed,184000.0
CTR-2026-00021,AWD-2026-00021,2026-02-03,2026-05-13,Completed,0.0
CTR-2025-00022,AWD-2025-00022,2025-05-20,2025-08-08,Delayed,0.0
CTR-2025-00023,AWD-2025-00023,2025-07-28,2025-11-16,In Progress,0.0
CTR-2025-00024,AWD-2025-00024,2025-02-10,2025-04-29,Completed,0.0
CTR-2024-00025,AWD-2024-00025,2024-10-14,2025-02-16,In Progress,410000.0
CTR-2025-00026,AWD-2025-00026,2025-08-27,2026-02-11,Completed,0.0
CTR-2024-00027,AWD-2024-00027,2024-09-06,2024-11-26,Completed,0.0
CTR-2024-00028,AWD-2024-00028,2024-11-01,2025-04-25,Completed,0.0
CTR-2024-00029,AWD-2024-00029,2024-11-08,2025-01-26,Completed,0.0
CTR-2024-00030,AWD-2024-00030,2024-10-26,2025-02-11,Completed,0.0
CTR-2026-00031,AWD-2026-00031,2026-07-28,2026-09-29,In Progress,0.0
CTR-2025-00032,AWD-2025-00032,2025-09-12,2026-03-08,In Progress,135000.0
CTR-2025-00033,AWD-2025-00033,2025-02-17,2025-05-05,Delayed,0.0
CTR-2025-00034,AWD-2025-00034,2025-11-26,2026-01-17,Delayed,0.0
CTR-2026-00035,AWD-2026-00035,2026-01-18,2026-06-12,Completed,0.0
CTR-2025-00036,AWD-2025-00036,2025-09-05,2026-01-28,Completed,0.0
CTR-2025-00037,AWD-2025-00037,2025-04-02,2025-08-04,Completed,0.0
CTR-2025-00038,AWD-2025-00038,2025-08-15,2025-10-27,Completed,0.0
CTR-2026-00039,AWD-2026-00039,2026-01-12,2026-05-24,Completed,0.0
CTR-2026-00040,AWD-2026-00040,2026-02-20,2026-04-07,Completed,460000.0
CTR-2026-00041,AWD-2026-00041,2026-05-04,2026-07-31,In Progress,83000.0
CTR-2026-00042,AWD-2026-00042,2026-04-01,2026-06-29,Completed,0.0
CTR-2025-00043,AWD-2025-00043,2025-12-30,2026-02-13,Completed,378000.0
CTR-2024-00044,AWD-2024-00044,2024-12-12,2025-03-27,Completed,173000.0
CTR-2025-00045,AWD-2024-00045,2025-01-04,2025-06-05,In Progress,0.0
CTR-2025-00046,AWD-2025-00046,2025-07-31,2025-10-12,Completed,0.0
CTR-2025-00047,AWD-2025-00047,2025-09-02,2025-12-13,In Progress,407000.0
CTR-2025-00048,AWD-2025-00048,2025-01-07,2025-07-03,In Progress,276000.0
CTR-2026-00049,AWD-2026-00049,2026-04-09,2026-07-17,Completed,0.0
CTR-2025-00050,AWD-2025-00050,2025-11-20,2026-01-30,Completed,0.0
CTR-2025-00051,AWD-2025-00051,2025-02-07,2025-08-01,Delayed,0.0
CTR-2026-00052,AWD-2026-00052,2026-07-15,2026-09-19,Completed,0.0
CTR-2025-00053,AWD-2025-00053,2025-03-05,2025-08-06,Completed,0.0
CTR-2024-00054,AWD-2024-00054,2024-10-26,2025-03-22,Completed,0.0
CTR-2024-00055,AWD-2024-00055,2024-09-25,2025-02-02,Completed,0.0
CTR-2025-00056,AWD-2025-00056,2025-10-02,2026-02-26,Completed,0.0
CTR-2024-00057,AWD-2024-00057,2024-12-06,2025-04-15,In Progress,0.0
CTR-2026-00058,AWD-2026-00058,2026-08-20,2027-01-18,Completed,331000.0
CTR-2024-00059,AWD-2024-00059,2024-09-16,2024-11-18,Completed,0.0
CTR-2025-00060,AWD-2025-00060,2025-09-10,2025-12-19,Completed,0.0
CTR-2026-00061,AWD-2026-00061,2026-01-29,2026-05-10,Delayed,0.0
CTR-2024-00062,AWD-2024-00062,2024-12-19,2025-06-01,Completed,0.0
CTR-2025-00063,AWD-2025-00063,2025-04-27,2025-09-24,In Progress,0.0
CTR-2024-00064,AWD-2024-00064,2024-10-18,2025-04-08,Completed,0.0
CTR-2024-00065,AWD-2024-00065,2024-09-30,2024-11-14,Completed,0.0
CTR-2024-00066,AWD-2024-00066,2024-12-04,2025-01-12,In Progress,0.0
CTR-2025-00067,AWD-2025-00067,2025-12-12,2026-04-01,Completed,0.0
CTR-2025-00068,AWD-2025-00068,2025-05-10,2025-07-26,In Progress,480000.0
CTR-2026-00069,AWD-2026-00069,2026-03-18,2026-07-20,Completed,0.0
CTR-2026-00070,AWD-2026-00070,2026-01-19,2026-02-24,In Progress,0.0
CTR-2025-00071,AWD-2025-00071,2025-11-09,2026-03-15,Completed,0.0
