requisition_id,department,category,estimated_value,raised_date,status
PR-2026-00001,Procurement & Logistics,Field Survey Services,14270000.0,2026-06-20,Awarded
PR-2025-00002,Procurement & Logistics,Office Consumables,40840000.0,2025-07-29,Awarded
PR-2025-00003,Risk & Compliance,Hardware Procurement,39450000.0,2025-12-22,Awarded
PR-2025-00004,IT & Infrastructure,Media & PR,32830000.0,2025-02-11,Awarded
PR-2026-00005,Lending Operations,Hardware Procurement,19490000.0,2026-06-07,Cancelled
PR-2025-00006,Lending Operations,Hardware Procurement,34100000.0,2025-07-11,Awarded
PR-2025-00007,Risk & Compliance,Office Consumables,40060000.0,2025-10-25,Awarded
PR-2025-00008,Procurement & Logistics,Field Survey Services,32950000.0,2025-11-15,Awarded
PR-2025-00009,Executive Admin,Office Consumables,11980000.0,2025-08-29,Awarded
PR-2025-00010,Lending Operations,Field Survey Services,22040000.0,2025-09-07,Awarded
PR-2026-00011,Procurement & Logistics,Media & PR,18130000.0,2026-04-28,Awarded
PR-2025-00012,Lending Operations,Software Licenses,9270000.0,2025-09-08,Awarded
PR-2025-00013,IT & Infrastructure,Field Survey Services,29360000.0,2025-11-30,Awarded
PR-2025-00014,Risk & Compliance,Field Survey Services,14780000.0,2025-06-04,Awarded
PR-2024-00015,Lending Operations,Office Consumables,40570000.0,2024-09-11,Awarded
PR-2025-00016,Lending Operations,Hardware Procurement,13100000.0,2025-10-10,Awarded
PR-2025-00017,Lending Operations,Software Licenses,4760000.0,2025-10-30,Awarded
PR-2025-00018,Procurement & Logistics,Office Consumables,9420000.0,2025-12-04,Awarded
PR-2026-00019,Procurement & Logistics,Hardware Procurement,36050000.0,2026-03-02,Awarded
PR-2025-00020,IT & Infrastructure,Field Survey Services,21580000.0,2025-10-08,Bidding
PR-2025-00021,Procurement & Logistics,Field Survey Services,21280000.0,2025-01-23,Awarded
PR-2025-00022,Risk & Compliance,Software Licenses,28110000.0,2025-09-25,Awarded
PR-2026-00023,Risk & Compliance,Office Consumables,32750000.0,2026-01-10,Awarded
PR-2025-00024,Executive Admin,Field Survey Services,9690000.0,2025-04-30,Awarded
PR-2025-00025,Risk & Compliance,Hardware Procurement,1730000.0,2025-07-08,Awarded
PR-2025-00026,IT & Infrastructure,Office Consumables,17330000.0,2025-01-27,Awarded
PR-2024-00027,Lending Operations,Office Consumables,4210000.0,2024-09-27,Awarded
PR-2025-00028,Executive Admin,Field Survey Services,21540000.0,2025-08-12,Awarded
PR-2024-00029,Lending Operations,Field Survey Services,22620000.0,2024-08-12,Awarded
PR-2024-00030,Lending Operations,Hardware Procurement,9840000.0,2024-10-15,Awarded
PR-2024-00031,Executive Admin,Media & PR,30070000.0,2024-10-15,Awarded
PR-2024-00032,Procurement & Logistics,Media & PR,4090000.0,2024-10-11,Awarded
PR-2026-00033,Lending Operations,Media & PR,16640000.0,2026-07-07,Awarded
PR-2025-00034,IT & Infrastructure,Office Consumables,12040000.0,2025-08-25,Awarded
PR-2025-00035,IT & Infrastructure,Hardware Procurement,18820000.0,2025-01-26,Awarded
PR-2025-00036,Procurement & Logistics,Field Survey Services,22640000.0,2025-11-11,Awarded
PR-2026-00037,Lending Operations,Hardware Procurement,9510000.0,2026-01-01,Awarded
PR-2025-00038,Risk & Compliance,Media & PR,32720000.0,2025-08-13,Awarded
PR-2025-00039,IT & Infrastructure,Office Consumables,42180000.0,2025-03-08,Awarded
PR-2025-00040,Risk & Compliance,Software Licenses,15400000.0,2025-07-24,Awarded
PR-2025-00041,Risk & Compliance,Hardware Procurement,440000.0,2025-02-24,Bidding
PR-2025-00042,Executive Admin,Office Consumables,22300000.0,2025-12-25,Awarded
PR-2026-00043,IT & Infrastructure,Software Licenses,20200000.0,2026-01-28,Awarded
PR-2025-00044,Executive Admin,Media & PR,25600000.0,2025-03-22,Bidding
PR-2026-00045,Lending Operations,Hardware Procurement,19330000.0,2026-06-08,Cancelled
PR-2026-00046,Executive Admin,Software Licenses,27780000.0,2026-04-10,Awarded
PR-2025-00047,Executive Admin,Software Licenses,740000.0,2025-12-17,Bidding
PR-2024-00048,IT & Infrastructure,Office Consumables,9680000.0,2024-11-12,Bidding
PR-2025-00049,IT & Infrastructure,Software Licenses,20020000.0,2025-08-17,Cancelled
PR-2026-00050,Procurement & Logistics,Software Licenses,22650000.0,2026-01-08,Cancelled
PR-2026-00051,Procurement & Logistics,Hardware Procurement,31600000.0,2026-03-12,Awarded
PR-2025-00052,Procurement & Logistics,Field Survey Services,11370000.0,2025-07-29,Bidding
PR-2025-00053,Executive Admin,Media & PR,34750000.0,2025-12-11,Awarded
PR-2025-00054,Executive Admin,Media & PR,15140000.0,2025-12-28,Bidding
PR-2025-00055,Risk & Compliance,Media & PR,18850000.0,2025-11-15,Bidding
PR-2024-00056,Lending Operations,Media & PR,5460000.0,2024-11-20,Awarded
PR-2024-00057,Executive Admin,Software Licenses,18180000.0,2024-12-09,Awarded
PR-2025-00058,Risk & Compliance,Software Licenses,29970000.0,2025-07-11,Awarded
PR-2025-00059,Executive Admin,Field Survey Services,30310000.0,2025-08-10,Awarded
PR-2024-00060,Risk & Compliance,Hardware Procurement,34240000.0,2024-12-14,Awarded
PR-2026-00061,Lending Operations,Software Licenses,39270000.0,2026-03-21,Awarded
PR-2025-00062,IT & Infrastructure,Field Survey Services,7590000.0,2025-10-27,Awarded
PR-2025-00063,Procurement & Logistics,Hardware Procurement,25240000.0,2025-04-10,Bidding
PR-2025-00064,IT & Infrastructure,Media & PR,21080000.0,2025-09-19,Cancelled
PR-2025-00065,IT & Infrastructure,Media & PR,4060000.0,2025-01-12,Awarded
PR-2026-00066,IT & Infrastructure,Office Consumables,9220000.0,2026-06-24,Awarded
PR-2025-00067,Risk & Compliance,Office Consumables,32980000.0,2025-02-13,Awarded
PR-2025-00068,Executive Admin,Field Survey Services,14920000.0,2025-11-22,Bidding
PR-2024-00069,Lending Operations,Field Survey Services,22140000.0,2024-10-06,Awarded
PR-2024-00070,IT & Infrastructure,Hardware Procurement,25340000.0,2024-08-29,Awarded
PR-2025-00071,Executive Admin,Hardware Procurement,15970000.0,2025-09-15,Awarded
PR-2024-00072,Procurement & Logistics,Hardware Procurement,33580000.0,2024-11-17,Awarded
PR-2026-00073,IT & Infrastructure,Software Licenses,32140000.0,2026-07-26,Awarded
PR-2025-00074,Risk & Compliance,Media & PR,2790000.0,2025-12-24,Bidding
PR-2024-00075,Risk & Compliance,Office Consumables,29630000.0,2024-12-20,Bidding
PR-2026-00076,IT & Infrastructure,Media & PR,5730000.0,2026-04-13,Bidding
PR-2024-00077,Procurement & Logistics,Software Licenses,43510000.0,2024-08-27,Awarded
PR-2025-00078,Risk & Compliance,Office Consumables,21700000.0,2025-08-20,Awarded
PR-2026-00079,IT & Infrastructure,Hardware Procurement,480000.0,2026-01-12,Awarded
PR-2025-00080,Executive Admin,Software Licenses,4650000.0,2025-11-22,Bidding
PR-2025-00081,IT & Infrastructure,Office Consumables,4030000.0,2025-02-15,Bidding
PR-2024-00082,Executive Admin,Office Consumables,20240000.0,2024-11-23,Awarded
PR-2025-00083,IT & Infrastructure,Hardware Procurement,23820000.0,2025-04-02,Awarded
PR-2025-00084,Executive Admin,Software Licenses,25320000.0,2025-12-02,Bidding
PR-2026-00085,Procurement & Logistics,Hardware Procurement,34910000.0,2026-02-05,Bidding
PR-2024-00086,IT & Infrastructure,Hardware Procurement,26140000.0,2024-09-30,Awarded
PR-2024-00087,IT & Infrastructure,Field Survey Services,25770000.0,2024-09-04,Awarded
PR-2024-00088,Executive Admin,Media & PR,2920000.0,2024-11-19,Awarded
PR-2025-00089,IT & Infrastructure,Field Survey Services,42510000.0,2025-05-01,Bidding
PR-2025-00090,Risk & Compliance,Media & PR,12500000.0,2025-11-21,Awarded
PR-2025-00091,Risk & Compliance,Hardware Procurement,35270000.0,2025-04-18,Awarded
