vendor_id,vendor_name,category,registration_date,status
PRC-VND-0001,Okafor Ltd Ltd,Office Supplies & Printing,2024-01-02,Active
PRC-VND-0002,"Ibrahim, Adetokunbo and Obi Limited",Logistics & Transport,2024-06-17,Active
PRC-VND-0003,Balogun PLC Services,Office Supplies & Printing,2024-09-29,Active
PRC-VND-0004,Adetokunbo and Sons Limited,Legal & Audit Consulting,2024-08-20,Active
PRC-VND-0005,"Ojo, Balogun and Adeyemi Nig. Ltd",Facility Management,2024-01-29,Active
PRC-VND-0006,Obasanjo LLC Ltd,Logistics & Transport,2025-04-12,Active
PRC-VND-0007,"Ibrahim, Balogun and Ibrahim Ltd",Office Supplies & Printing,2024-02-13,Active
PRC-VND-0008,Balogun-Eze Ltd,Logistics & Transport,2025-04-06,Active
PRC-VND-0009,"Oshodi, Obi and Balogun Ltd",Legal & Audit Consulting,2024-10-06,Active
PRC-VND-0010,"Obi, Oshodi and Olawale Services",IT Services & Hardware,2023-12-23,Active
PRC-VND-0011,"Okafor, Obi and Olawale Limited",Office Supplies & Printing,2025-02-01,Active
PRC-VND-0012,Obi LLC Services,Logistics & Transport,2023-12-30,Active
PRC-VND-0013,"Okonkwo, Balogun and Akinwale Nig. Ltd",Facility Management,2025-02-08,Active
PRC-VND-0014,"Obi, Adetokunbo and Adeyemi Nig. Ltd",Legal & Audit Consulting,2024-08-22,Active
PRC-VND-0015,"Obasanjo, Olawale and Olawale Ltd",Facility Management,2024-08-14,Active
PRC-VND-0016,Nnamani-Ibrahim Nig. Ltd,Logistics & Transport,2024-06-25,Active
PRC-VND-0017,"Ekwueme, Ojo and Okonkwo Nig. Ltd",Facility Management,2024-09-17,Active
PRC-VND-0018,Olawale-Abiola Nig. Ltd,Facility Management,2024-07-24,Active
PRC-VND-0019,Akinwale-Akinwale Limited,Logistics & Transport,2025-06-08,Active
PRC-VND-0020,Eze-Eze Services,Legal & Audit Consulting,2025-04-09,Active
PRC-VND-0021,Ogunleye-Okafor Limited,Logistics & Transport,2024-05-09,Active
PRC-VND-0022,Obasanjo LLC Limited,IT Services & Hardware,2024-01-22,Active
PRC-VND-0023,Akinwale Ltd Services,Legal & Audit Consulting,2024-04-08,Active
PRC-VND-0024,Eze Inc Nig. Ltd,IT Services & Hardware,2024-12-20,Active
PRC-VND-0025,Balogun-Oyekan Ltd,IT Services & Hardware,2023-08-24,Pending Audit
PRC-VND-0026,Uche and Sons Ltd,Legal & Audit Consulting,2025-07-04,Active
PRC-VND-0027,Ogunleye-Chukwu Limited,Legal & Audit Consulting,2023-12-06,Pending Audit
PRC-VND-0028,"Balogun, Ibrahim and Nnamani Nig. Ltd",Legal & Audit Consulting,2025-02-18,Active
PRC-VND-0029,Akinwale-Obi Consulting,Legal & Audit Consulting,2025-03-31,Active
PRC-VND-0030,Adeyemi and Sons Services,IT Services & Hardware,2024-08-15,Active
PRC-VND-0031,Akinwale-Akinwale Ltd,Logistics & Transport,2024-01-21,Active
PRC-VND-0032,Uche-Uche Ltd,Office Supplies & Printing,2023-11-17,Active
PRC-VND-0033,Ibrahim-Eze Ltd,Legal & Audit Consulting,2025-07-04,Active
PRC-VND-0034,"Okafor, Okonkwo and Chukwu Nig. Ltd",Logistics & Transport,2024-08-21,Active
PRC-VND-0035,Nnamani-Obasanjo Consulting,Logistics & Transport,2025-01-03,Active
PRC-VND-0036,Chukwu LLC Ltd,Logistics & Transport,2024-07-24,Active
PRC-VND-0037,Ogunleye-Okonkwo Services,Facility Management,2024-09-06,Active
PRC-VND-0038,"Oshodi, Ogunleye and Olawale Services",Facility Management,2024-11-30,Active
PRC-VND-0039,Ogunleye and Sons Limited,IT Services & Hardware,2023-10-31,Active
